transaction_amount,location,device,time,frequency,is_fraud
4638354.71,Rubavu,mobile,18,4,0
151357.87,Butare,mobile,14,2,0
516821.69,Nyagatare,mobile,9,0,0
1931652.06,Nyagatare,pos,16,2,0
4434840.05,Musanze,mobile,11,2,0
2723248.1,Musanze,web,22,4,0
4120790.55,Nyagatare,mobile,3,2,0
1418006.4,Musanze,unknown,13,3,0
557915.77,Butare,web,18,3,0
1230571.08,Kigali,atm,23,1,0
3226694.4,Musanze,web,12,3,0
4357149.79,Kigali,web,23,2,0
2275269.14,Kigali,mobile,3,2,1
968480.84,Kigali,mobile,6,2,0
3188241.42,Gisenyi,mobile,17,1,0
985071.39,Kigali,mobile,10,3,0
2851653.37,Kigali,web,12,3,0
511907.47,Rubavu,web,16,5,0
4055769.77,Musanze,web,14,0,0
4025930.7,Kigali,atm,14,4,0
2706506.86,Musanze,mobile,16,2,0
191393.94,Kigali,web,4,6,0
1401286.99,International,web,8,1,0
691855.11,Butare,mobile,3,3,0
2617517.46,Kigali,mobile,19,1,0
509120.64,Nyagatare,mobile,6,2,0
4348697.67,Kigali,atm,9,2,0
4250896.36,Kigali,mobile,0,4,0
780912.33,Kigali,web,1,5,0
3474592.73,Butare,web,22,3,0
3482668.19,Musanze,unknown,9,1,1
1984073.6,Musanze,pos,7,5,0
765418.96,Gisenyi,mobile,18,4,0
660972.56,International,mobile,0,7,0
3697510.02,Musanze,mobile,1,2,1
1101276.98,Rubavu,mobile,15,3,0
3017467.06,Kigali,mobile,1,6,1
4329475.14,Butare,mobile,23,5,0
2965700.64,Kigali,mobile,3,5,1
4869824.72,Kigali,mobile,15,1,0
3227686.71,Rubavu,pos,18,2,0
1573358.27,Kigali,atm,7,5,0
4262410.43,Kigali,mobile,16,2,0
1554906.4,Butare,web,2,2,0
4857866.11,Kigali,mobile,16,2,0
2388920.86,Gisenyi,mobile,2,1,0
4766258.72,Nyagatare,web,11,5,0
918399.39,Kigali,mobile,5,2,0
57486.83,Kigali,web,13,1,0
981058.41,Nyagatare,mobile,7,6,0
492292.66,Rubavu,web,5,5,0
3669913.13,Kigali,atm,12,4,0
1323096.0,Kigali,pos,20,2,0
3197551.21,Musanze,mobile,1,2,1
3343450.87,Rubavu,web,4,2,0
3441382.58,Kigali,web,21,2,0
4163124.3,Kigali,unknown,23,5,1
745254.79,Rubavu,mobile,8,4,0
252794.93,Gisenyi,mobile,0,4,0
149010.8,Kigali,mobile,11,2,0
519398.12,International,mobile,15,6,0
1896238.09,Kigali,pos,17,3,0
4836896.01,Kigali,web,14,4,0
1766448.88,Kigali,web,9,3,0
2264888.18,Musanze,pos,8,2,0
4072076.4,International,mobile,4,4,0
4593030.8,Kigali,unknown,9,3,1
4857221.8,Kigali,atm,15,4,0
4132342.9,Rubavu,mobile,22,3,0
2512829.03,Butare,web,19,4,0
1147767.5,Kigali,pos,5,3,0
2992035.6,Nyagatare,mobile,9,3,0
984376.84,Gisenyi,unknown,13,6,0
279095.8,Kigali,pos,16,5,0
4596810.0,Butare,atm,10,4,0
2424209.13,Butare,mobile,5,2,0
2541447.0,Butare,mobile,13,8,0
3046290.52,Butare,web,18,2,0
2257317.08,Gisenyi,web,9,1,0
2222430.11,Kigali,mobile,23,7,0
4575769.02,Kigali,pos,12,4,0
4082822.37,Rubavu,pos,23,4,0
1063354.7,Musanze,web,6,2,0
1459242.26,Musanze,web,7,3,0
3303282.89,Kigali,web,2,4,1
2855674.05,Butare,mobile,14,4,0
3830913.69,International,mobile,16,3,0
3638299.29,Kigali,atm,15,4,0
3542881.79,Musanze,web,23,3,0
4401149.45,Kigali,web,4,1,0
3832882.19,Musanze,web,10,4,0
1214615.52,Rubavu,mobile,10,3,0
4364249.58,Rubavu,mobile,18,7,0
1677993.26,International,atm,14,5,0
4554516.98,Nyagatare,web,13,3,0
4121437.69,Kigali,mobile,10,2,0
370889.91,Kigali,mobile,10,7,0
3856517.43,Butare,mobile,11,1,0
2500820.51,Kigali,mobile,23,1,1
4885575.23,Kigali,mobile,5,1,0
2292365.47,International,mobile,0,3,1
335505.23,Butare,mobile,11,2,0
1466036.25,International,web,1,2,0
2151332.02,Kigali,mobile,3,5,0
2959792.43,Kigali,web,8,1,0
760952.87,Gisenyi,pos,15,2,0
2575655.6,Rubavu,mobile,8,3,0
2417622.27,Kigali,atm,9,2,0
4183394.46,Butare,mobile,1,3,0
1512363.35,Nyagatare,mobile,0,2,0
2247862.46,Musanze,web,0,5,0
1943369.01,Kigali,unknown,1,7,0
3161340.74,Kigali,web,9,3,0
4181026.83,Kigali,mobile,19,0,0
3378282.85,Rubavu,mobile,8,2,0
2325512.45,International,mobile,7,5,0
3189329.56,Kigali,web,2,4,0
1611558.69,Gisenyi,mobile,11,6,0
720927.16,International,web,10,7,0
1598929.76,Kigali,atm,0,2,0
2218725.98,Rubavu,mobile,15,4,0
2196605.03,Kigali,atm,5,1,0
3688137.41,International,atm,9,3,1
4681758.63,Kigali,pos,12,4,0
1945102.53,Butare,mobile,12,4,0
432699.37,Kigali,mobile,22,2,0
167549.22,Kigali,unknown,1,5,0
20261.88,International,mobile,10,4,0
4690531.71,Gisenyi,web,5,4,0
4978168.94,Rubavu,mobile,7,5,0
257394.7,Gisenyi,pos,13,4,0
1791364.42,Kigali,mobile,13,4,0
3346891.01,Kigali,mobile,0,3,1
895137.52,Gisenyi,web,13,1,0
2972388.72,Musanze,mobile,23,6,0
4068179.99,Gisenyi,web,2,3,1
4290503.11,Gisenyi,web,10,2,0
3532250.18,Rubavu,web,13,3,0
409280.0,Kigali,pos,12,3,0
1742304.72,Rubavu,web,12,5,0
4836730.21,Butare,mobile,15,6,0
964178.94,Rubavu,mobile,7,4,0
2269903.4,Kigali,atm,1,3,0
1671217.58,Kigali,atm,14,2,0
1028088.65,Kigali,pos,1,4,0
1618018.67,Musanze,mobile,21,1,0
947998.61,Kigali,mobile,8,2,0
4386328.14,Kigali,web,2,1,1
872629.2,Musanze,mobile,17,4,0
3117909.07,Butare,mobile,11,3,0
4711606.91,Kigali,pos,2,9,1
4763252.22,Kigali,mobile,14,1,0
3002323.13,Butare,mobile,5,3,0
1354844.17,Gisenyi,web,3,4,0
1239865.11,Kigali,mobile,17,2,0
3737479.66,Nyagatare,mobile,11,0,0
4903546.27,Kigali,mobile,4,1,0
388436.1,Butare,web,7,1,0
3947448.17,Rubavu,web,20,3,0
615365.41,Nyagatare,mobile,20,2,0
1491277.64,Kigali,mobile,21,2,0
2833334.95,Rubavu,web,13,5,0
1486474.87,Gisenyi,atm,8,4,0
3251480.74,Kigali,unknown,0,3,1
2086270.78,Rubavu,mobile,15,5,0
1095959.11,Kigali,atm,17,1,0
2654888.27,Musanze,mobile,15,3,0
120536.67,Nyagatare,mobile,23,3,0
3705521.21,Butare,mobile,11,3,0
2611683.19,Kigali,web,11,2,0
4733528.24,Rubavu,web,13,2,0
514395.95,Butare,mobile,7,4,0
3661595.05,Kigali,unknown,4,4,0
1505101.49,Kigali,mobile,20,3,0
1866056.84,Kigali,mobile,5,6,0
1742759.37,Rubavu,web,23,2,0
1790430.58,Butare,unknown,12,3,0
2154459.35,Gisenyi,unknown,19,4,0
105513.75,Butare,mobile,19,6,0
4233863.4,Rubavu,mobile,13,3,0
4409038.82,Rubavu,web,16,1,0
198262.9,Butare,web,9,3,0
3880127.97,Kigali,web,12,3,0
361826.91,Butare,mobile,10,6,0
4039164.08,Kigali,mobile,0,1,1
3065132.12,International,mobile,6,3,1
1532110.63,International,pos,4,5,0
3069606.05,Butare,mobile,4,0,0
2533477.2,Kigali,pos,0,4,0
3178956.25,Kigali,mobile,1,3,0
2377121.2,Nyagatare,atm,13,3,0
3864486.52,Kigali,mobile,18,2,0
226825.05,Gisenyi,pos,20,0,0
1721739.4,Kigali,pos,17,5,0
2796654.1,Musanze,mobile,13,2,0
2941421.03,Nyagatare,mobile,6,8,0
848140.16,Gisenyi,mobile,5,1,0
373110.76,Gisenyi,pos,15,2,0
105382.61,Kigali,mobile,23,6,0
2065361.62,Rubavu,mobile,0,5,1
1652270.69,Butare,unknown,23,4,0
2839256.06,Rubavu,web,12,3,0
2247849.42,International,pos,2,3,1
1970643.24,Musanze,atm,23,3,0
4216681.3,Butare,mobile,21,1,0
3107769.99,International,pos,12,0,1
3230680.6,Gisenyi,web,2,2,0
1909441.0,Kigali,web,14,3,0
3884333.16,Rubavu,mobile,17,6,0
760861.81,Musanze,unknown,20,3,0
2010302.65,Kigali,pos,0,3,1
236345.94,Rubavu,mobile,2,3,0
577629.05,Nyagatare,mobile,19,4,0
408088.52,Kigali,atm,5,4,0
2207459.94,Gisenyi,mobile,23,2,0
3486773.12,Kigali,mobile,9,3,0
1563827.2,Musanze,web,23,1,0
133542.0,Gisenyi,mobile,21,3,0
3536188.36,Butare,pos,14,6,0
1037561.62,Kigali,pos,19,6,0
3613512.1,Nyagatare,unknown,7,1,0
37269.45,Butare,mobile,16,1,0
1562054.33,Musanze,mobile,3,5,0
3106343.12,Kigali,web,1,2,0
4355818.28,Musanze,atm,11,2,0
3770765.15,Kigali,mobile,20,2,0
2248373.79,Kigali,mobile,5,1,0
3592714.76,Kigali,web,9,1,0
2687938.27,Kigali,web,2,1,0
4067071.08,Butare,web,7,2,0
3860441.71,Butare,web,12,8,0
4879272.92,Kigali,atm,13,7,0
525137.87,Butare,web,3,2,0
1703854.18,Kigali,web,23,5,0
962287.84,Nyagatare,atm,3,6,0
3154025.03,Butare,mobile,2,1,0
3320306.48,International,pos,18,2,1
1019451.51,Kigali,mobile,2,3,0
2108052.22,Kigali,mobile,2,2,0
3010950.04,Kigali,web,15,5,0
3294936.53,Kigali,mobile,20,1,0
513683.6,Musanze,mobile,7,6,0
4605403.6,Kigali,mobile,14,6,0
170898.53,Kigali,web,19,3,0
4864725.55,Kigali,unknown,8,4,1
1581970.94,International,web,5,4,0
1582069.69,Nyagatare,web,19,8,0
2230406.96,Kigali,atm,3,2,0
3474944.32,Butare,unknown,9,3,1
798429.12,Butare,mobile,3,2,0
1275296.41,Kigali,web,19,3,0
4807882.64,Butare,mobile,1,4,1
4384272.3,Kigali,mobile,5,3,0
1062352.23,Butare,mobile,0,4,0
2865270.67,Kigali,mobile,10,0,0
1018406.95,Gisenyi,pos,2,3,0
2750531.26,Kigali,atm,4,2,0
1829183.59,Gisenyi,mobile,21,2,0
1812442.49,Rubavu,mobile,7,0,0
3175531.72,Gisenyi,web,19,5,0
1259578.32,Butare,atm,15,0,0
2021595.9,Kigali,atm,11,2,0
4626331.62,Kigali,mobile,19,6,0
3776946.31,Kigali,atm,13,2,0
1916725.57,Musanze,pos,0,2,0
1151694.2,Gisenyi,mobile,10,4,0
3295228.65,Kigali,atm,9,5,0
4038544.58,Rubavu,mobile,13,2,0
4303893.02,Gisenyi,mobile,14,3,0
2821624.26,Kigali,web,14,3,0
2584240.89,Musanze,web,23,2,0
3598352.19,Musanze,web,1,3,0
879246.29,Kigali,unknown,5,3,0
4260768.61,Gisenyi,mobile,8,4,0
370080.56,Kigali,web,5,1,0
3015283.0,Kigali,web,0,3,0
2948672.72,Nyagatare,pos,4,4,0
1553856.22,Musanze,mobile,11,3,0
177796.56,Kigali,mobile,23,2,0
3589415.43,Butare,unknown,15,5,1
121358.53,Butare,web,0,3,0
898468.6,Kigali,unknown,16,1,0
2721412.02,Kigali,web,17,6,0
4699945.17,Musanze,web,4,2,0
330134.58,Nyagatare,web,19,5,0
2894145.29,Rubavu,unknown,19,2,0
1644800.73,Kigali,mobile,12,4,0
3347255.15,Nyagatare,mobile,20,4,0
4764567.62,International,web,16,3,1
1343317.28,Musanze,mobile,15,3,0
4779656.96,Kigali,atm,12,3,0
4353196.19,Butare,unknown,19,6,0
3035476.05,Nyagatare,pos,2,1,0
3791304.24,Kigali,mobile,5,8,0
4324507.58,Kigali,atm,10,2,0
4017441.43,Musanze,web,6,5,0
1633875.07,Kigali,mobile,13,4,0
4063114.08,Nyagatare,web,11,5,0
1567937.45,Gisenyi,pos,0,2,0
4335462.92,Gisenyi,mobile,16,3,0
1277702.52,Musanze,web,17,6,0
2861518.17,Kigali,mobile,10,5,0
3464771.76,Rubavu,pos,11,4,0
2129243.26,Gisenyi,mobile,12,2,0
3914970.99,Butare,web,12,1,0
4626816.85,Kigali,web,4,0,0
931672.34,Musanze,web,11,2,0
167696.54,Kigali,mobile,3,1,0
3132768.83,Butare,web,19,3,0
3011133.22,Kigali,web,9,3,0
1706851.62,International,web,16,3,0
3927422.15,Kigali,web,12,2,0
4130799.67,Musanze,mobile,14,3,0
1660262.41,Kigali,web,18,5,0
3411521.36,Kigali,atm,9,4,0
3210304.35,Butare,mobile,6,6,0
1713549.55,Musanze,web,11,0,0
4845756.71,Rubavu,mobile,21,3,0
1732338.06,Nyagatare,web,20,2,0
3101609.97,Kigali,mobile,12,6,0
1900942.0,International,web,14,1,0
59659.22,Kigali,mobile,15,3,0
458646.65,Rubavu,mobile,6,1,0
1161965.5,Kigali,mobile,1,2,0
4060934.85,Musanze,mobile,17,1,0
2210603.23,Nyagatare,pos,14,5,0
2943324.01,Gisenyi,web,14,4,0
4719310.93,Butare,atm,22,1,0
735545.05,Musanze,mobile,23,1,0
4309165.94,Nyagatare,mobile,17,1,0
1896490.42,Rubavu,mobile,10,6,0
1687731.27,Nyagatare,pos,0,0,0
3127828.69,Gisenyi,web,4,2,0
4493243.43,Rubavu,web,16,6,0
1743005.29,Gisenyi,mobile,10,0,0
3807160.5,Butare,atm,8,2,0
96700.8,Rubavu,pos,20,2,0
3115696.51,Gisenyi,web,7,5,0
3152978.07,Rubavu,mobile,19,5,0
2780524.57,Nyagatare,mobile,0,1,0
4689144.21,Kigali,atm,8,1,0
4692987.1,Butare,mobile,13,3,0
1710633.35,Kigali,web,13,3,0
2282093.08,Butare,web,3,5,1
3961981.56,Kigali,unknown,13,2,0
4219635.05,Rubavu,mobile,2,3,1
2090135.04,Musanze,web,17,5,0
1745458.45,Rubavu,mobile,16,3,0
4103172.34,Butare,pos,8,6,0
1884659.01,Butare,mobile,16,1,0
2026458.35,Gisenyi,atm,19,3,0
678084.39,Gisenyi,mobile,17,6,0
2714974.21,Musanze,pos,14,4,0
1632577.1,Nyagatare,unknown,23,2,0
2953238.34,Butare,web,4,2,0
2241321.23,Kigali,web,2,0,1
3740808.25,Kigali,web,13,2,0
1389225.47,Kigali,unknown,3,3,0
860411.79,Butare,web,2,0,0
3514947.32,Kigali,mobile,17,4,0
1920943.95,Butare,web,5,4,0
2818236.07,Kigali,web,5,1,0
4705373.15,Kigali,atm,18,3,0
2420726.43,Rubavu,mobile,20,3,0
762384.45,International,unknown,8,3,1
2133804.21,Kigali,pos,12,4,0
2392915.61,Kigali,mobile,15,0,0
3830009.07,Kigali,mobile,14,2,0
976343.68,Kigali,web,14,5,0
1734835.39,Kigali,mobile,9,4,0
250616.58,Kigali,web,16,3,0
3510038.67,Nyagatare,web,22,2,0
3719789.75,Gisenyi,mobile,13,1,0
2286228.25,Kigali,web,0,2,0
2691574.16,Kigali,mobile,21,4,0
3749194.28,Gisenyi,unknown,12,2,1
1341873.0,Rubavu,mobile,15,3,0
3035022.95,Kigali,mobile,20,3,0
4819614.78,Kigali,unknown,3,3,1
3290010.11,Kigali,mobile,2,3,0
391011.63,Kigali,pos,9,7,0
1451655.22,Kigali,mobile,19,2,0
2595873.47,Butare,mobile,13,4,0
363817.5,Rubavu,mobile,11,5,0
3383010.77,Butare,unknown,10,5,1
3271233.89,International,mobile,16,4,1
4381680.29,Gisenyi,web,4,3,0
2500213.94,Nyagatare,web,8,5,0
3460846.68,Nyagatare,pos,21,3,0
910500.03,Musanze,mobile,9,3,0
14847.03,Kigali,mobile,19,3,0
861683.84,Butare,atm,20,3,0
311541.88,Kigali,web,16,2,0
2138876.27,Butare,web,12,5,0
2341782.53,Kigali,mobile,3,2,0
3222541.25,Kigali,pos,19,2,0
704288.95,Musanze,mobile,8,3,0
1073973.13,Rubavu,mobile,4,4,0
3991731.65,International,mobile,18,3,0
2882824.21,Butare,mobile,7,5,0
147303.29,Kigali,pos,9,1,0
4242099.16,Kigali,atm,22,4,0
3149213.09,Butare,mobile,23,5,0
933602.21,Kigali,atm,3,7,0
1260702.67,International,web,22,5,0
2767960.3,Kigali,mobile,3,2,1
2804225.51,Kigali,mobile,20,5,0
4026040.73,Kigali,web,4,1,0
1793233.9,Nyagatare,pos,3,1,0
2746741.08,Rubavu,web,4,3,0
2912898.62,Musanze,web,16,4,0
2793602.75,Kigali,pos,15,1,0
364992.77,Gisenyi,mobile,11,4,0
2056558.75,Rubavu,mobile,0,2,0
1694751.16,Kigali,web,1,4,0
4963892.2,Rubavu,web,7,3,0
2328709.97,Gisenyi,unknown,10,1,0
2176421.76,Kigali,mobile,1,2,0
2418695.99,Kigali,mobile,12,2,0
4596453.27,Kigali,web,1,5,0
3057463.55,Gisenyi,mobile,13,1,0
1946022.37,Gisenyi,unknown,15,2,0
4562930.69,Butare,unknown,0,0,1
4649249.79,Kigali,web,13,1,0
1321931.51,Butare,web,15,3,0
1967283.76,Kigali,web,23,2,0
4832310.12,Rubavu,atm,18,6,0
2705472.92,Nyagatare,web,22,3,0
2159009.52,Butare,mobile,4,6,0
977424.97,Kigali,atm,22,2,0
1922501.98,Musanze,unknown,23,5,0
3156358.01,Kigali,atm,2,3,1
193986.39,Gisenyi,mobile,20,3,0
416989.78,Kigali,atm,20,4,0
27379.34,Rubavu,unknown,6,2,0
1095027.21,Butare,web,13,3,0
915372.5,Butare,mobile,17,3,0
4254113.0,Nyagatare,mobile,7,5,0
926597.49,Butare,mobile,22,0,0
3306074.54,Kigali,web,11,2,0
592236.49,International,unknown,6,3,1
2968002.07,Kigali,web,20,2,0
2178382.95,Butare,mobile,23,3,1
2043636.24,Gisenyi,web,16,5,0
4282881.18,Nyagatare,mobile,22,0,0
839013.47,Rubavu,mobile,10,1,0
2976293.18,Musanze,atm,8,0,0
4109409.35,Musanze,mobile,23,6,0
3569627.16,Kigali,mobile,14,1,0
4916737.43,Rubavu,web,14,5,0
11028.33,Gisenyi,web,3,4,0
4421854.39,Kigali,atm,23,1,0
3067450.06,Kigali,mobile,11,4,0
12921.41,Musanze,web,11,5,0
2327736.36,International,web,7,4,1
3837303.17,Rubavu,mobile,16,2,0
913142.2,Rubavu,mobile,16,4,0
3392546.67,Kigali,mobile,10,2,0
698772.27,Kigali,mobile,8,8,0
4017360.47,Gisenyi,web,16,4,0
2842532.61,Kigali,web,15,1,0
169916.32,Rubavu,web,18,5,0
454833.1,Kigali,atm,2,5,0
4319393.32,Butare,web,19,2,0
165490.58,Kigali,mobile,12,3,0
1493063.72,Kigali,mobile,11,2,0
2834775.98,Gisenyi,web,18,5,0
1067592.18,Kigali,mobile,2,2,0
1121548.71,Kigali,mobile,4,6,0
3880282.04,Butare,atm,4,5,0
1455327.42,Gisenyi,mobile,23,2,0
193395.46,Kigali,web,12,2,0
3605748.44,Gisenyi,mobile,22,3,0
4771852.61,Kigali,web,12,1,0
4159753.92,Kigali,unknown,14,4,1
2743035.87,Musanze,unknown,11,1,0
2124706.32,Butare,unknown,4,2,1
4625863.27,Kigali,web,19,4,0
3831244.08,Musanze,mobile,3,3,0
2853500.88,Nyagatare,mobile,12,0,0
4399171.68,Kigali,mobile,15,3,0
3008760.96,Kigali,mobile,17,4,0
4867536.59,Butare,mobile,22,4,0
4291523.25,Rubavu,web,1,3,1
2752450.93,Gisenyi,mobile,9,7,0
4614219.63,Rubavu,unknown,7,2,1
1712523.55,Gisenyi,web,17,3,0
3504784.64,International,mobile,17,4,1
856792.38,Nyagatare,web,19,3,0
4476876.89,Kigali,mobile,15,3,0
1240626.72,Butare,pos,14,3,0
4745188.04,Butare,mobile,22,5,0
85448.79,Butare,web,15,2,0
3409343.57,Nyagatare,atm,4,7,0
750705.82,Kigali,mobile,2,3,0
3854171.96,Gisenyi,mobile,14,3,0
2459783.7,Nyagatare,mobile,21,2,0
4548296.44,Kigali,atm,8,1,0
3575488.51,Nyagatare,mobile,1,0,0
3841445.81,Musanze,pos,12,6,0
602836.61,Kigali,mobile,22,2,0
483257.77,Kigali,mobile,9,2,0
4252863.25,Kigali,mobile,9,4,0
1129256.33,Kigali,mobile,15,3,0
4334775.66,Gisenyi,mobile,3,3,1
713119.42,International,web,21,0,0
1542602.18,Kigali,web,3,0,0
4643729.28,Kigali,web,14,2,0
4198669.31,Kigali,web,17,1,0
271686.1,Nyagatare,mobile,20,3,0
2240763.5,Gisenyi,unknown,13,5,1
4549384.28,Kigali,pos,15,3,0
74281.83,Musanze,pos,14,1,0
537043.77,Nyagatare,web,18,3,0
3226156.83,Butare,pos,2,5,0
525364.92,Kigali,web,9,4,0
2244466.84,Kigali,web,13,2,0
2539360.0,Kigali,atm,2,1,0
4301340.19,Kigali,web,17,3,0
4786975.41,Kigali,mobile,19,1,0
2561398.62,Nyagatare,unknown,22,2,1
2552046.43,Kigali,web,1,2,0
3634113.29,Butare,web,19,1,0
962936.83,Kigali,web,20,4,0
4704322.27,Kigali,mobile,18,2,0
6494.02,Rubavu,pos,20,4,0
9468.45,Kigali,web,20,3,0
3128518.98,International,pos,17,2,0
1707752.72,Kigali,web,0,1,0
1990877.14,Kigali,atm,14,5,0
1107575.16,Musanze,atm,1,1,0
2039308.09,International,mobile,15,6,0
4140001.73,International,mobile,20,4,0
3496397.62,Musanze,pos,23,3,0
473721.45,International,mobile,16,4,0
283870.85,Musanze,pos,13,4,0
2531210.89,Kigali,web,21,3,0
3650939.74,Musanze,web,13,2,0
3322613.1,Butare,mobile,18,3,0
4320641.41,Butare,web,20,2,0
666756.46,Kigali,mobile,0,1,0
3028960.31,Gisenyi,mobile,4,2,0
3830189.73,Rubavu,atm,9,2,0
4689235.02,Musanze,mobile,1,0,0
504864.75,Kigali,web,8,1,0
1198589.43,Kigali,web,18,4,0
1773279.87,Butare,unknown,4,5,0
2703981.75,Kigali,pos,4,3,0
2043356.67,Musanze,web,13,4,0
4305655.86,Kigali,pos,2,2,1
4752659.43,Kigali,atm,20,5,0
350858.24,Butare,mobile,13,2,0
3498553.32,Gisenyi,unknown,4,5,1
571809.46,Kigali,web,7,1,0
4489826.79,Kigali,web,7,1,0
710921.67,Butare,atm,5,4,0
4957560.29,International,mobile,1,2,1
2139037.18,International,mobile,5,4,0
1909993.44,Rubavu,mobile,22,1,0
2931609.28,Musanze,atm,6,3,0
1972085.0,Kigali,web,10,4,0
1173850.69,Kigali,mobile,4,4,0
3145904.65,Gisenyi,mobile,9,0,0
3641953.81,Musanze,atm,19,4,0
4726635.37,Kigali,web,14,4,0
2045888.48,Butare,web,6,5,0
3529011.79,Kigali,mobile,5,3,0
4168100.78,Gisenyi,web,6,5,0
4157003.39,Musanze,mobile,3,2,0
171833.56,Musanze,atm,14,3,0
1778833.75,Rubavu,mobile,17,4,0
67585.09,Kigali,mobile,9,4,0
2795620.06,Musanze,unknown,6,0,1
4325519.59,Kigali,mobile,3,3,0
4074682.71,Musanze,mobile,17,4,0
4056342.24,Kigali,mobile,7,4,0
1759504.07,Butare,pos,7,3,0
232125.11,Gisenyi,atm,9,4,0
862502.4,Kigali,unknown,7,2,0
3353621.45,Nyagatare,web,18,2,0
669647.05,Butare,mobile,19,6,0
627079.17,Kigali,mobile,1,0,0
1768699.36,Kigali,atm,13,2,0
473126.87,Rubavu,unknown,22,5,0
1649255.82,Kigali,unknown,22,1,0
4848478.42,Butare,atm,16,8,0
100245.57,Butare,atm,8,3,0
4152798.76,Kigali,web,20,2,0
4968111.5,Kigali,atm,6,4,0
2182308.17,Butare,mobile,7,0,0
4715305.32,Kigali,mobile,18,1,0
1306093.77,Kigali,web,6,4,0
4911495.36,Kigali,web,20,2,0
4307825.78,Butare,web,19,7,0
4423545.5,Kigali,mobile,17,2,0
652426.59,Nyagatare,web,22,3,0
4350377.06,Musanze,mobile,12,3,0
4709144.04,Kigali,mobile,22,6,0
4095330.37,Kigali,unknown,9,1,0
457274.43,Nyagatare,unknown,9,3,0
424340.77,Butare,mobile,7,4,0
1788351.17,Nyagatare,web,19,6,0
3524775.87,Rubavu,atm,12,5,0
62757.91,Kigali,web,9,2,0
4753253.41,Musanze,mobile,1,3,1
2627483.61,Butare,pos,10,2,0
1792183.03,Rubavu,web,18,2,0
2806364.03,Kigali,mobile,16,7,0
3579073.09,Kigali,web,14,5,0
1366758.8,Kigali,mobile,11,1,0
1455972.67,Kigali,web,21,1,0
2341150.16,Butare,atm,7,2,0
3349818.67,Kigali,mobile,9,3,0
3531998.49,Nyagatare,mobile,23,1,1
1620621.17,Kigali,atm,3,1,0
1612796.55,Musanze,web,3,3,0
2435800.18,Nyagatare,mobile,9,4,0
2709837.54,Kigali,web,11,3,0
3247245.97,Kigali,web,11,2,0
3088739.55,Rubavu,web,16,4,0
1862903.16,Rubavu,web,21,2,0
1484785.51,Kigali,mobile,3,3,0
1539952.0,Kigali,pos,17,1,0
3227182.59,Kigali,mobile,7,2,0
2166021.2,Gisenyi,mobile,6,2,0
672179.64,Kigali,atm,7,6,0
30112.33,Gisenyi,mobile,17,1,0
148871.98,Kigali,unknown,8,4,0
4337647.98,Rubavu,web,3,4,0
2289407.14,Musanze,pos,16,3,0
3287307.31,Musanze,web,5,3,0
4645222.96,Kigali,atm,3,0,0
631836.13,Nyagatare,web,14,2,0
2238355.67,Gisenyi,web,17,3,0
2695567.45,Nyagatare,web,16,2,0
4207753.77,Gisenyi,unknown,21,2,0
4968595.26,Butare,mobile,7,3,0
3558536.59,Rubavu,mobile,18,1,0
3209349.6,Kigali,web,11,0,0
4601602.49,Kigali,mobile,9,4,0
4186985.87,Kigali,web,7,3,0
4325288.3,Musanze,mobile,1,1,1
14027.27,Nyagatare,web,3,2,0
2572403.24,Musanze,web,5,4,0
3913751.47,Nyagatare,mobile,22,3,0
907694.88,International,unknown,15,3,0
3757385.73,Butare,atm,3,3,0
46296.18,Kigali,atm,19,4,0
2876045.87,Gisenyi,web,22,2,0
4256714.94,Kigali,mobile,22,4,0
2157026.12,Kigali,web,22,1,0
3697392.91,Rubavu,atm,20,5,0
2652228.15,Kigali,mobile,3,4,1
3236631.25,Kigali,web,13,2,0
2583581.25,Rubavu,unknown,12,4,1
2379445.8,Kigali,atm,21,1,0
4208212.08,Kigali,web,22,4,0
464169.56,Kigali,mobile,9,1,0
2923464.1,Gisenyi,web,8,2,0
574495.03,Kigali,atm,20,5,0
2814258.15,Rubavu,web,5,6,0
4817998.42,Nyagatare,atm,4,2,0
285960.91,Musanze,mobile,4,4,0
2110323.01,Nyagatare,web,2,5,1
4009955.02,Nyagatare,web,0,4,1
1848773.0,Kigali,mobile,17,4,0
2601813.68,Musanze,mobile,15,1,0
573981.68,Butare,mobile,6,2,0
1115754.84,Kigali,mobile,10,1,0
3432282.81,Rubavu,mobile,15,1,0
4143023.48,Kigali,web,19,5,0
3232458.52,Kigali,web,10,4,0
4184685.94,Rubavu,mobile,9,2,0
3028484.51,Kigali,unknown,18,4,1
4051135.94,Kigali,web,12,6,0
4914442.56,Nyagatare,web,3,2,0
414582.26,Kigali,mobile,7,7,0
2398508.33,Musanze,mobile,6,3,0
949868.39,Kigali,web,23,1,0
2326410.12,Nyagatare,mobile,0,1,0
2498183.93,Butare,mobile,16,3,0
3109795.42,Butare,mobile,19,4,0
2196770.29,Butare,web,12,6,0
1623899.78,Musanze,mobile,12,6,0
216319.89,Kigali,mobile,8,5,0
174450.27,Rubavu,atm,21,1,0
875454.25,Kigali,mobile,14,6,0
2245207.56,Nyagatare,mobile,14,1,0
2087871.42,Kigali,mobile,1,2,1
953882.12,Kigali,unknown,14,1,0
4111786.69,Rubavu,mobile,3,1,0
3417624.31,Rubavu,web,12,3,0
1716153.33,Gisenyi,web,19,3,0
